timestamp,event,data
2020-01-07 19:14:04.083691,train_begin,
2020-01-07 19:14:10.785300,epoch_begin,0
2020-01-07 19:14:10.786770,batch_begin,0
2020-01-07 19:14:25.553450,batch_begin,1
2020-01-07 19:14:25.677476,batch_begin,2
2020-01-07 19:14:25.798001,batch_begin,3
2020-01-07 19:14:26.324925,batch_begin,4
2020-01-07 19:14:26.446514,batch_begin,5
2020-01-07 19:14:26.637987,batch_begin,6
2020-01-07 19:14:26.760532,batch_begin,7
2020-01-07 19:14:26.951698,batch_begin,8
2020-01-07 19:14:27.423795,batch_begin,9
2020-01-07 19:14:27.918665,batch_begin,10
2020-01-07 19:14:28.039058,batch_begin,11
2020-01-07 19:14:28.160045,batch_begin,12
2020-01-07 19:14:28.279943,batch_begin,13
2020-01-07 19:14:28.403143,batch_begin,14
2020-01-07 19:14:29.036136,batch_begin,15
2020-01-07 19:14:29.558409,batch_begin,16
2020-01-07 19:14:29.679333,batch_begin,17
2020-01-07 19:14:30.275366,batch_begin,18
2020-01-07 19:14:30.395935,batch_begin,19
2020-01-07 19:14:30.585806,batch_begin,20
2020-01-07 19:14:31.085993,batch_begin,21
2020-01-07 19:14:31.634532,batch_begin,22
2020-01-07 19:14:31.825677,batch_begin,23
2020-01-07 19:14:31.946711,batch_begin,24
2020-01-07 19:14:32.067816,batch_begin,25
2020-01-07 19:14:32.189088,batch_begin,26
2020-01-07 19:14:32.310227,batch_begin,27
2020-01-07 19:14:32.430827,batch_begin,28
2020-01-07 19:14:32.552297,batch_begin,29
2020-01-07 19:14:32.672537,batch_begin,30
2020-01-07 19:14:32.795168,batch_begin,31
2020-01-07 19:14:32.915909,batch_begin,32
2020-01-07 19:14:33.036921,batch_begin,33
2020-01-07 19:14:33.156843,batch_begin,34
2020-01-07 19:14:33.277294,batch_begin,35
2020-01-07 19:14:33.397784,batch_begin,36
2020-01-07 19:14:33.518466,batch_begin,37
2020-01-07 19:14:33.639742,batch_begin,38
2020-01-07 19:14:33.828946,batch_begin,39
2020-01-07 19:14:33.949765,batch_begin,40
2020-01-07 19:14:34.070720,batch_begin,41
2020-01-07 19:14:34.191558,batch_begin,42
2020-01-07 19:14:34.382517,batch_begin,43
2020-01-07 19:14:34.502917,batch_begin,44
2020-01-07 19:14:34.624065,batch_begin,45
2020-01-07 19:14:35.141546,batch_begin,46
2020-01-07 19:14:35.639288,batch_begin,47
2020-01-07 19:14:35.759736,batch_begin,48
2020-01-07 19:14:35.880581,batch_begin,49
2020-01-07 19:14:36.070607,batch_begin,50
2020-01-07 19:14:36.613140,batch_begin,51
2020-01-07 19:14:36.803233,batch_begin,52
2020-01-07 19:14:37.504701,batch_begin,53
2020-01-07 19:14:38.115052,batch_begin,54
2020-01-07 19:14:38.235433,batch_begin,55
2020-01-07 19:14:38.356331,batch_begin,56
2020-01-07 19:14:38.477207,batch_begin,57
2020-01-07 19:14:38.597488,batch_begin,58
2020-01-07 19:14:38.718206,batch_begin,59
2020-01-07 19:14:38.839179,batch_begin,60
2020-01-07 19:14:38.959828,batch_begin,61
2020-01-07 19:14:39.098614,batch_begin,62
2020-01-07 19:14:39.766692,batch_begin,63
2020-01-07 19:14:39.887184,batch_begin,64
2020-01-07 19:14:40.007510,batch_begin,65
